disasterNumber,declarationDate,declarationTitle,state,designatedArea
4776,2024-04-30T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",OK,Hughes (County)
4776,2024-04-30T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",OK,Murray (County)
4776,2024-04-30T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",OK,Love (County)
4775,2024-04-28T00:00:00.000Z,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",WA,Mason (County)
4774,2024-04-28T00:00:00.000Z,SEVERE WINTER STORM,KS,Butler (County)
4774,2024-04-28T00:00:00.000Z,SEVERE WINTER STORM,KS,Chase (County)
4774,2024-04-28T00:00:00.000Z,SEVERE WINTER STORM,KS,Cloud (County)
4774,2024-04-28T00:00:00.000Z,SEVERE WINTER STORM,KS,Edwards (County)
4774,2024-04-28T00:00:00.000Z,SEVERE WINTER STORM,KS,Ford (County)
4774,2024-04-28T00:00:00.000Z,SEVERE WINTER STORM,KS,Geary (County)
4774,2024-04-28T00:00:00.000Z,SEVERE WINTER STORM,KS,Gray (County)
4774,2024-04-28T00:00:00.000Z,SEVERE WINTER STORM,KS,Hodgeman (County)
4774,2024-04-28T00:00:00.000Z,SEVERE WINTER STORM,KS,Morris (County)
4774,2024-04-28T00:00:00.000Z,SEVERE WINTER STORM,KS,Osage (County)
4774,2024-04-28T00:00:00.000Z,SEVERE WINTER STORM,KS,Ottawa (County)
4774,2024-04-28T00:00:00.000Z,SEVERE WINTER STORM,KS,Pawnee (County)
4774,2024-04-28T00:00:00.000Z,SEVERE WINTER STORM,KS,Shawnee (County)
4774,2024-04-28T00:00:00.000Z,SEVERE WINTER STORM,KS,Stafford (County)
4774,2024-04-28T00:00:00.000Z,SEVERE WINTER STORM,KS,Trego (County)
4774,2024-04-28T00:00:00.000Z,SEVERE WINTER STORM,KS,Wabaunsee (County)
4775,2024-04-28T00:00:00.000Z,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",WA,Colville Indian Reservation
4775,2024-04-28T00:00:00.000Z,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",WA,Clallam (County)
4775,2024-04-28T00:00:00.000Z,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",WA,Clark (County)
4775,2024-04-28T00:00:00.000Z,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",WA,Cowlitz (County)
4775,2024-04-28T00:00:00.000Z,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",WA,Ferry (County)
4775,2024-04-28T00:00:00.000Z,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",WA,Grays Harbor (County)
4775,2024-04-28T00:00:00.000Z,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",WA,Island (County)
4775,2024-04-28T00:00:00.000Z,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",WA,Jefferson (County)
4775,2024-04-28T00:00:00.000Z,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",WA,King (County)
4775,2024-04-28T00:00:00.000Z,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",WA,Klickitat (County)
4775,2024-04-28T00:00:00.000Z,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",WA,Lewis (County)
4775,2024-04-28T00:00:00.000Z,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",WA,Okanogan (County)
4775,2024-04-28T00:00:00.000Z,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",WA,Pacific (County)
4775,2024-04-28T00:00:00.000Z,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",WA,Skagit (County)
4775,2024-04-28T00:00:00.000Z,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",WA,Skamania (County)
